"","PC1","PC2","PC3","PC4","PC5"
"RS_57",2.23410256016614,-1.8060376303418,-0.479073727936802,-0.624830275261153,-0.0954715145690914
"RS_58",-2.17622919806562,0.700871667314213,-0.135991198816424,0.0177170016758407,-0.0638024690531864
"RS_59",-2.60383128859361,0.596162727807436,-0.266961227206396,0.0519636055492892,-0.103346940705415
"RS_60",0.636443101217992,-0.0858720200462769,0.322925846000194,0.112630516907245,0.0871839949092768
"RS_61",-2.59983831167903,0.590879159604936,-0.274724525501794,0.0493278099320892,-0.103485652086089
"RS_62",1.24748268574099,-0.969455571495578,0.764634028728711,0.164243415536349,0.00164033513723172
"RS_63",-2.33679848760395,0.591981486858985,1.65588920717606,-0.777374820024485,-0.0192039101306021
"RS_64",0.190510712415263,0.763116853907234,-0.352261427382218,0.287191822921569,-0.204613571331998
"RS_65",-1.18706077999993,-3.58759269799558,-1.03736995114633,0.127001856652627,-0.142274857272265
"RS_66",1.50035096921949,-0.323219614993937,-0.126952567350315,-0.183090334994274,-0.0795102252992875
"RS_67",-0.16382601285699,0.670859036920482,-0.357532520902084,0.109032931390304,-0.00646637880806636
